SMILES,Min_PE
O=C1CCCCCN1C(=O)C1=CC=CC=C1,-2576.57556
C1=CC=C(C(=C1)C(=O)O)[N+](=O)[O-],-2291.67039
COC(=O)C1=CC=C(C(=O)O)C=C1,-2394.89737
COC(=O)C1=C(C(=O)OC)C=CC=C1,-2544.27234
C(CCCO[N+](=O)O)CCO[N+](=O)O,-3063.2765
COC(=O)C1=CC=C(C=C1)[N+](=O)[O-],-2441.38678
CCOC(=O)C1=C(C(=O)OCC)C=CC=C1,-2844.4573
CCCCOC(=O)C1=C(C(=O)OCCCC)C=CC=C1,-3444.24543
CC=CCC1(C)C(=O)NC(=O)N(C)C1=O,-2676.80194
CC12CCC3C4=C(C=C(O)C=C4)CCC3C1CCC2=O,-3099.31481
CC12CCC(=O)C=C1CCC1C2CCC2(C)C(O)CCC12,-3303.47331
CCOP(=O)(OCC)OC1=CC=C(C=C1)[N+](=O)[O-],-3550.95394
CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,-3576.33618
NNC(=O)C1=CC2=C(C=C1)OCO2,-2347.53895
CC1C2=C(C=C(C=C2)[N+](=O)[O-])C(=O)O1,-2564.21665
NC1=NC2=C(NC(=O)C=N2)C(=O)N1,-2325.92144
NC(CC1=NNC2=C1C=CC=C2)C(=O)O,-2525.45534
CCN(CC)C1=CC2=C(C=C1)C(C)=CC(=O)O2,-2725.87467
NC1=C2C=CC=NC2=C(S(=O)(=O)O)C=C1,-2648.46346
NC1=C(S(=O)(=O)O)C=CC2=C1C=CC=N2,-2648.72003
COC1=CC=C(Cl)C(OC)=C1O,-2256.12298
NC(=O)COC(=O)C1=CC=CC=C1,-2299.22505
CC1=C(C2=CC=CC=C2C=C1)[N+](=O)[O-],-2246.28971
CCC1(CCO)C(=O)NC(=S)NC1=O,-2580.89682
COC1=C2C=COC2=CC2=C1C=CC(=O)O2,-2761.63024
NC1=CC=C(S(=O)(=O)N=C2CC=CN2)C=C1,-2702.45915
COC1=C2OC=CC2=CC2=C1OC(=O)C=C2,-2761.26212
CC1=CC(=O)N(O)C2=C1C1=C(C=CC=C1)C=C2,-2643.43421
CCNC(=O)COC(=O)C1=CC=CC=C1,-2599.12472
C1=CC=C(C=C1)C2=CC(=C(C=C2)[N+](=O)[O-])O,-2664.39258
CCN(CC)C(=O)SCC1=CC=C(Cl)C=C1,-2615.82111
CCN(CC)C(=O)COC(=O)C1=CC=CC=C1,-2898.6686
O=C(O)CSC(=S)OCC1=CC=CC=C1,-2602.05012
O=S(=O)(C1=C(O)C=CC=C1)C1=C(O)C=CC=C1,-2966.4382
CCCCCCCCC(CO[N+](=O)O)O[N+](=O)O,-3663.05569
O=C(C1=CC=CC=C1)N(O)C1=CC=CC2=C1C=CC=C2,-3038.40712
CCCC1(CCC)C(=O)NC(=O)NC1=O,-2704.65214
CC1=NC(=O)C2=C(N1)C=CC(=C2)[N+](=O)[O-],-2641.58068
CCCCCOC(=O)C1=C(C(=O)OCCCCC)C=CC=C1,-3744.11
CCC1C2=C(C=C(C=C2)[N+](=O)[O-])C(=O)O1,-2714.16308
CCC(C)C1(CC)C(=O)NC(=O)NC1=O,-2704.62151
NC(=O)CNC(=O)CNC(=O)OCC1=CC=CC=C1,-3417.35922
CCC(=O)C(CCCCCCOC1=C(Cl)C=C(OC)C=C1)C(=O)CC,-4296.90043
CCCCC1(CC)C(=O)NC(=O)NC1=O,-2704.64816
CC1(C2=CC=CC=C2)C(=O)NC(=O)NC1=O,-2745.49692
C=CCC1(CC(C)C)C(=O)NC(=O)NC1=O,-2826.81751
CCOC1=C2N=CC=CC2=C(NC(C)=O)C=C1,-2748.63396
CC(=O)C1=C(C(=O)O)C(C(=O)O)=CN=C1C,-3013.17512
